2024-03-11 19:15:33.733 INFO  (qtp738677855-19-null-14) [c: s: r: x:n11_restaurants t:null-14] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[a48bf10f-35b8-4860-a6db-6d4d21b591c2 (1793258457626836992)]} 0 17
2024-03-11 19:15:33.941 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-15) [c: s: r: x:n11_restaurants t:null-15] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:15:33.945 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-15) [c: s: r: x:n11_restaurants t:null-15] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:15:33.946 INFO  (qtp738677855-27-null-15) [c: s: r: x:n11_restaurants t:null-15] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 190
2024-03-11 19:18:08.679 INFO  (qtp738677855-26-null-16) [c: s: r: x:n11_restaurants t:null-16] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[1653af85-0229-443f-a7c0-7811aaadde85 (1793258620098445312)]} 0 17
2024-03-11 19:18:08.913 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-17) [c: s: r: x:n11_restaurants t:null-17] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:18:08.917 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-17) [c: s: r: x:n11_restaurants t:null-17] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:18:08.918 INFO  (qtp738677855-19-null-17) [c: s: r: x:n11_restaurants t:null-17] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 216
2024-03-11 19:19:15.211 INFO  (qtp738677855-26-null-18) [c: s: r: x:n11_restaurants t:null-18] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[aa61fce6-4182-4dcc-a73a-bfee2a8befdd (1793258689863352320)]} 0 17
2024-03-11 19:19:15.445 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-19) [c: s: r: x:n11_restaurants t:null-19] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:19:15.450 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-19) [c: s: r: x:n11_restaurants t:null-19] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:19:15.451 INFO  (qtp738677855-19-null-19) [c: s: r: x:n11_restaurants t:null-19] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 235
2024-03-11 19:19:41.007 INFO  (qtp738677855-26-null-20) [c: s: r: x:n11_restaurants t:null-20] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[98192de8-edf2-4eaf-8221-db1209ca3cca (1793258716904030208)]} 0 25
2024-03-11 19:19:41.240 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-21) [c: s: r: x:n11_restaurants t:null-21] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:19:41.244 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-21) [c: s: r: x:n11_restaurants t:null-21] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:19:41.245 INFO  (qtp738677855-19-null-21) [c: s: r: x:n11_restaurants t:null-21] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 233
2024-03-11 19:24:11.940 INFO  (qtp738677855-25-null-22) [c: s: r: x:n11_restaurants t:null-22] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[23e294fb-9d28-46e9-baf7-afc61dc040ae (1793259001005211648)]} 0 17
2024-03-11 19:24:12.226 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-23) [c: s: r: x:n11_restaurants t:null-23] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:24:12.231 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-23) [c: s: r: x:n11_restaurants t:null-23] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:24:12.233 INFO  (qtp738677855-24-null-23) [c: s: r: x:n11_restaurants t:null-23] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 287
2024-03-11 19:24:33.769 INFO  (qtp738677855-18-null-24) [c: s: r: x:n11_restaurants t:null-24] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[9f2d9cb0-7b2e-467a-9511-47dac4d44797 (1793259023896674304)]} 0 15
2024-03-11 19:24:34.096 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-25) [c: s: r: x:n11_restaurants t:null-25] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:24:34.100 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-25) [c: s: r: x:n11_restaurants t:null-25] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:24:34.102 INFO  (qtp738677855-24-null-25) [c: s: r: x:n11_restaurants t:null-25] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 328
2024-03-11 19:26:35.761 INFO  (qtp738677855-27-null-26) [c: s: r: x:n11_restaurants t:null-26] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={show=schema&wt=json&_=1710183814294} status=0 QTime=8
2024-03-11 19:26:36.772 INFO  (qtp738677855-19-null-27) [c: s: r: x: t:null-27] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710183814261} status=0 QTime=0
2024-03-11 19:26:37.825 INFO  (qtp738677855-24-null-28) [c: s: r: x: t:null-28] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183814261} status=0 QTime=28
2024-03-11 19:26:38.842 INFO  (qtp738677855-24-null-31) [c: s: r: x: t:null-31] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710183814261} status=0 QTime=0
2024-03-11 19:26:38.844 INFO  (qtp738677855-27-null-29) [c: s: r: x:n11_restaurants t:null-29] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1710185198820} status=0 QTime=3
2024-03-11 19:26:38.852 INFO  (qtp738677855-23-null-30) [c: s: r: x: t:null-30] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183814261} status=0 QTime=10
2024-03-11 19:26:40.481 INFO  (qtp738677855-20-null-32) [c: s: r: x:n11_restaurants t:null-32] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1710185198820} status=0 QTime=0
2024-03-11 19:26:40.481 INFO  (qtp738677855-19-null-35) [c: s: r: x: t:null-35] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710183814261} status=0 QTime=0
2024-03-11 19:26:40.492 INFO  (qtp738677855-23-null-34) [c: s: r: x: t:null-34] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710183814261} status=0 QTime=11
2024-03-11 19:26:40.523 INFO  (qtp738677855-18-null-33) [c: s: r: x:n11_restaurants t:null-33] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&indent=true&q.op=OR&useParams=&_=1710185198820} hits=9 status=0 QTime=41
2024-03-11 19:27:44.464 INFO  (qtp738677855-26-null-36) [c: s: r: x:n11_restaurants t:null-36] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[bc0b4f36-e6c4-466e-b475-f0266067f87c (1793259223856971776)]} 0 13
2024-03-11 19:27:44.726 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-37) [c: s: r: x:n11_restaurants t:null-37] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:27:44.731 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-37) [c: s: r: x:n11_restaurants t:null-37] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:27:44.736 INFO  (qtp738677855-18-null-37) [c: s: r: x:n11_restaurants t:null-37] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 264
2024-03-11 19:28:48.085 INFO  (qtp738677855-27-null-38) [c: s: r: x:n11_restaurants t:null-38] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[748c14f9-5559-4bac-a9b9-5be340396957 (1793259290565279744)]} 0 17
2024-03-11 19:28:48.420 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-39) [c: s: r: x:n11_restaurants t:null-39] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:28:48.427 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-39) [c: s: r: x:n11_restaurants t:null-39] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:28:48.723 INFO  (qtp738677855-26-null-39) [c: s: r: x:n11_restaurants t:null-39] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 632
2024-03-11 19:30:01.514 INFO  (qtp738677855-18-null-40) [c: s: r: x:n11_restaurants t:null-40] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[8fcaf16f-1755-4b04-9811-da55f6a1d1ff (1793259367563264000)]} 0 14
2024-03-11 19:30:01.735 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-41) [c: s: r: x:n11_restaurants t:null-41] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:30:01.741 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-41) [c: s: r: x:n11_restaurants t:null-41] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:30:01.742 INFO  (qtp738677855-27-null-41) [c: s: r: x:n11_restaurants t:null-41] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 207
2024-03-11 19:30:46.031 INFO  (qtp738677855-18-null-42) [c: s: r: x:n11_restaurants t:null-42] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={wt=javabin&version=2}{add=[c3d4397c-24b3-4618-be2b-8a11c5577409 (1793259414242721792)]} 0 14
2024-03-11 19:30:46.236 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-43) [c: s: r: x:n11_restaurants t:null-43] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-11 19:30:46.241 INFO  (searcherExecutor-13-thread-1-processing-n11_restaurants null-43) [c: s: r: x:n11_restaurants t:null-43] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-11 19:30:46.242 INFO  (qtp738677855-27-null-43) [c: s: r: x:n11_restaurants t:null-43] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={waitSearcher=true&commit=true&softCommit=false&wt=javabin&version=2}{commit=} 0 203
